attention,meditation,rawValue,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength
29,88,-33,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,-33,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,54,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,187,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,187,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,55,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,55,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,-100,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,65,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,167,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,167,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,226,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,0,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,0,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,-11,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,56,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,56,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,225,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,155,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,155,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,-137,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,-86,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,-86,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,115,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,145,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,145,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,-1,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,-73,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,-73,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,72,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
30,81,-149,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,5,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,5,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,151,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,240,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,-2,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,-2,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,-2,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,-75,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,-75,871720,227180,157104,11446,27756,43857,3487,546355,0,0
30,81,112,871720,227180,157104,11446,27756,43857,3487,546355,0,0
